544 findings in intellicrack\plugins\custom_modules\license_server_emulator.py

intellicrack\core\exploitation\crypto_key_extractor.py:_find_api_call_sites:2015: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_get_dll_for_api:2065: DAR101: - api_name

intellicrack\core\exploitation\crypto_key_extractor.py:_get_dll_for_api:2065: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_is_valid_call:2078: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_is_valid_call:2078: DAR101: - offset

intellicrack\core\exploitation\crypto_key_extractor.py:_is_valid_call:2078: DAR101: - pattern

intellicrack\core\exploitation\crypto_key_extractor.py:_is_valid_call:2078: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_analyze_call_parameters:2095: DAR101: - api_name

intellicrack\core\exploitation\crypto_key_extractor.py:_analyze_call_parameters:2095: DAR101: - call_offset

intellicrack\core\exploitation\crypto_key_extractor.py:_analyze_call_parameters:2095: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_analyze_call_parameters:2095: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_bcrypt_symmetric_key:2128: DAR101: - base_addr

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_bcrypt_symmetric_key:2128: DAR101: - call_offset

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_bcrypt_symmetric_key:2128: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_bcrypt_symmetric_key:2128: DAR101: - params

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_bcrypt_symmetric_key:2128: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_is_bcrypt_key_structure:2155: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_is_bcrypt_key_structure:2155: DAR101: - offset

intellicrack\core\exploitation\crypto_key_extractor.py:_is_bcrypt_key_structure:2155: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_bcrypt_key_pair:2177: DAR101: - base_addr

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_bcrypt_key_pair:2177: DAR101: - call_offset

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_bcrypt_key_pair:2177: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_bcrypt_key_pair:2177: DAR101: - params

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_bcrypt_key_pair:2177: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_imported_key:2207: DAR101: - base_addr

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_imported_key:2207: DAR101: - call_offset

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_imported_key:2207: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_imported_key:2207: DAR101: - params

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_imported_key:2207: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_key_from_blob:2242: DAR101: - blob_offset

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_key_from_blob:2242: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_key_from_blob:2242: DAR101: - header

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_key_from_blob:2242: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_exported_key:2255: DAR101: - base_addr

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_exported_key:2255: DAR101: - call_offset

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_exported_key:2255: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_exported_key:2255: DAR101: - params

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_exported_key:2255: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_analyze_import_table:2279: DAR101: - api_list

intellicrack\core\exploitation\crypto_key_extractor.py:_analyze_import_table:2279: DAR101: - base_addr

intellicrack\core\exploitation\crypto_key_extractor.py:_analyze_import_table:2279: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_analyze_import_table:2279: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_parse_import_table:2294: DAR101: - api_list

intellicrack\core\exploitation\crypto_key_extractor.py:_parse_import_table:2294: DAR101: - base_addr

intellicrack\core\exploitation\crypto_key_extractor.py:_parse_import_table:2294: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_parse_import_table:2294: DAR101: - pe_offset

intellicrack\core\exploitation\crypto_key_extractor.py:_parse_import_table:2294: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_find_generated_symmetric_keys:2304: DAR101: - api_name

intellicrack\core\exploitation\crypto_key_extractor.py:_find_generated_symmetric_keys:2304: DAR101: - base_addr

intellicrack\core\exploitation\crypto_key_extractor.py:_find_generated_symmetric_keys:2304: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_find_generated_symmetric_keys:2304: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_find_generated_key_pairs:2332: DAR101: - api_name

intellicrack\core\exploitation\crypto_key_extractor.py:_find_generated_key_pairs:2332: DAR101: - base_addr

intellicrack\core\exploitation\crypto_key_extractor.py:_find_generated_key_pairs:2332: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_find_generated_key_pairs:2332: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_is_probably_prime_product:2364: DAR101: - n

intellicrack\core\exploitation\crypto_key_extractor.py:_is_probably_prime_product:2364: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_hook_linux_apis:2370: DAR101: - api_list

intellicrack\core\exploitation\crypto_key_extractor.py:_hook_linux_apis:2370: DAR101: - base_addr

intellicrack\core\exploitation\crypto_key_extractor.py:_hook_linux_apis:2370: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_hook_linux_apis:2370: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_find_aes_keys_linux:2383: DAR101: - api_name

intellicrack\core\exploitation\crypto_key_extractor.py:_find_aes_keys_linux:2383: DAR101: - base_addr

intellicrack\core\exploitation\crypto_key_extractor.py:_find_aes_keys_linux:2383: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_find_aes_keys_linux:2383: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_find_rsa_keys_linux:2409: DAR101: - api_name

intellicrack\core\exploitation\crypto_key_extractor.py:_find_rsa_keys_linux:2409: DAR101: - base_addr

intellicrack\core\exploitation\crypto_key_extractor.py:_find_rsa_keys_linux:2409: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_find_rsa_keys_linux:2409: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_rsa_keys:2414: DAR101: - base_address

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_rsa_keys:2414: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_rsa_keys:2414: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_parse_rsa_der:2437: DAR101: - address

intellicrack\core\exploitation\crypto_key_extractor.py:_parse_rsa_der:2437: DAR101: - der_data

intellicrack\core\exploitation\crypto_key_extractor.py:_parse_rsa_der:2437: DAR101: - key_type

intellicrack\core\exploitation\crypto_key_extractor.py:_parse_rsa_der:2437: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_find_rsa_modulus:2500: DAR101: - base_address

intellicrack\core\exploitation\crypto_key_extractor.py:_find_rsa_modulus:2500: DAR101: - bit_size

intellicrack\core\exploitation\crypto_key_extractor.py:_find_rsa_modulus:2500: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_find_rsa_modulus:2500: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_ecc_keys:2546: DAR101: - base_address

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_ecc_keys:2546: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_ecc_keys:2546: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_parse_ecc_key:2578: DAR101: - base_address

intellicrack\core\exploitation\crypto_key_extractor.py:_parse_ecc_key:2578: DAR101: - curve_name

intellicrack\core\exploitation\crypto_key_extractor.py:_parse_ecc_key:2578: DAR101: - curve_params

intellicrack\core\exploitation\crypto_key_extractor.py:_parse_ecc_key:2578: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_parse_ecc_key:2578: DAR101: - oid_offset

intellicrack\core\exploitation\crypto_key_extractor.py:_parse_ecc_key:2578: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_verify_ecc_point:2614: DAR101: - curve_params

intellicrack\core\exploitation\crypto_key_extractor.py:_verify_ecc_point:2614: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_verify_ecc_point:2614: DAR101: - x

intellicrack\core\exploitation\crypto_key_extractor.py:_verify_ecc_point:2614: DAR101: - y

intellicrack\core\exploitation\crypto_key_extractor.py:_find_ecc_points:2639: DAR101: - base_address

intellicrack\core\exploitation\crypto_key_extractor.py:_find_ecc_points:2639: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_find_ecc_points:2639: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_symmetric_keys:2672: DAR101: - base_address

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_symmetric_keys:2672: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_symmetric_keys:2672: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_calculate_entropy:2704: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_calculate_entropy:2704: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_near_crypto_constants:2722: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_near_crypto_constants:2722: DAR101: - offset

intellicrack\core\exploitation\crypto_key_extractor.py:_near_crypto_constants:2722: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_pem_keys:2737: DAR101: - base_address

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_pem_keys:2737: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_pem_keys:2737: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_der_keys:2781: DAR101: - base_address

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_der_keys:2781: DAR101: - data

intellicrack\core\exploitation\crypto_key_extractor.py:_extract_der_keys:2781: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:extract_from_binary:2806: DAR101: - binary_path

intellicrack\core\exploitation\crypto_key_extractor.py:extract_from_binary:2806: DAR201: - return

intellicrack\core\exploitation\crypto_key_extractor.py:export_keys:2813: DAR101: - output_dir


301 findings in intellicrack\plugins\custom_modules\intellicrack_core_engine.py

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:to_dict:141: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:to_dict:173: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:to_dict:204: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:to_dict:235: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:254: DAR101: - config

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_logger:352: DAR101: - name

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_logger:352: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:log_event:361: DAR101: - event

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:log_plugin_operation:373: DAR101: - details

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:log_plugin_operation:373: DAR101: - operation

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:log_plugin_operation:373: DAR101: - plugin_name

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:log_plugin_operation:373: DAR101: - status

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:log_workflow_step:396: DAR101: - duration

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:log_workflow_step:396: DAR101: - result

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:log_workflow_step:396: DAR101: - status

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:log_workflow_step:396: DAR101: - step_id

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:log_workflow_step:396: DAR101: - workflow_id

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:format:420: DAR101: - record

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:format:420: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:456: DAR101: - config_path

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_get_default_config:543: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_deep_merge:620: DAR101: - base

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_deep_merge:620: DAR101: - override

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_deep_merge:620: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get:660: DAR101: - default

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get:660: DAR101: - key

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get:660: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:set:673: DAR101: - key

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:set:673: DAR101: - value

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:add_watcher:686: DAR101: - callback

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:remove_watcher:690: DAR101: - callback

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:700: DAR101: - name

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:700: DAR101: - version

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:initialize:720: DAR101: - config

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_operation:740: DAR101: - operation

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_operation:740: DAR101: - parameters

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:set_logger:742: DAR101: - logger

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:set_event_bus:746: DAR101: - event_bus

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:update_config:750: DAR101: - config

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:emit_event:754: DAR101: - data

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:emit_event:754: DAR101: - event_type

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:emit_event:754: DAR101: - target

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:log_performance_metric:771: DAR101: - metric_name

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:log_performance_metric:771: DAR101: - value

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_status:778: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:794: DAR101: - name

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:794: DAR101: - script_path

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:794: DAR101: - version

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_metadata:801: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:initialize:813: DAR101: - config

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:initialize:813: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:activate:838: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:deactivate:843: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:cleanup:851: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_supported_operations:856: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_operation:867: DAR101: - operation

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_operation:867: DAR101: - parameters

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_operation:867: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_operation:867: DAR401: -r ValueError

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_execute_ghidra_script:910: DAR101: - binary_path

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_execute_ghidra_script:910: DAR101: - operation

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_execute_ghidra_script:910: DAR101: - parameters

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_execute_ghidra_script:910: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_execute_ghidra_script:910: DAR401: -r Exception

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_execute_ghidra_script:910: DAR401: -r FileNotFoundError

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_parse_ghidra_output:1011: DAR101: - operation

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_parse_ghidra_output:1011: DAR101: - output

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_parse_ghidra_output:1011: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:1058: DAR101: - name

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:1058: DAR101: - script_path

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:1058: DAR101: - version

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_metadata:1066: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:initialize:1078: DAR101: - config

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:initialize:1078: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:activate:1111: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:deactivate:1116: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:cleanup:1129: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_supported_operations:1134: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_operation:1145: DAR101: - operation

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_operation:1145: DAR101: - parameters

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_operation:1145: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_operation:1145: DAR401: -r ValueError

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_attach_to_process:1204: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_attach_to_process:1204: DAR101: - target

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_attach_to_process:1204: DAR401: -r Exception

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_on_message:1238: DAR101: - data

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_on_message:1238: DAR101: - message

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_hook_functions:1253: DAR101: - parameters

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_hook_functions:1253: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_hook_functions:1253: DAR401: -r ValueError

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_trace_calls:1282: DAR101: - parameters

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_trace_calls:1282: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_modify_memory:1301: DAR101: - parameters

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_modify_memory:1301: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_modify_memory:1301: DAR401: -r ValueError

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_bypass_protections:1317: DAR101: - parameters

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_bypass_protections:1317: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_extract_runtime_data:1343: DAR101: - parameters

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_extract_runtime_data:1343: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:1362: DAR101: - module_path

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:1362: DAR101: - name

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:1362: DAR101: - version

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_metadata:1369: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:initialize:1381: DAR101: - config

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:initialize:1381: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:activate:1424: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:deactivate:1445: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:cleanup:1463: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_supported_operations:1482: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_operation:1512: DAR101: - operation

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_operation:1512: DAR101: - parameters

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_operation:1512: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_operation:1512: DAR401: -r Exception

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_operation:1512: DAR401: -r TypeError

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_operation:1512: DAR401: -r ValueError

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:1564: DAR101: - max_queue_size

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:set_logger:1580: DAR101: - logger

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:subscribe:1613: DAR101: - event_type

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:subscribe:1613: DAR101: - handler

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:unsubscribe:1624: DAR101: - event_type

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:unsubscribe:1624: DAR101: - handler

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:emit:1637: DAR101: - event

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_handle_event:1684: DAR101: - event

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_run_sync_handler:1760: DAR101: - event

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_run_sync_handler:1760: DAR101: - handler

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_add_to_history:1765: DAR101: - event

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_stats:1773: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_recent_events:1782: DAR101: - count

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_recent_events:1782: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:1791: DAR101: - config

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:1791: DAR101: - event_bus

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:1791: DAR101: - logger

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:discover_plugins:1819: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_discover_ghidra_scripts:1840: DAR101: - directory

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_discover_ghidra_scripts:1840: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_discover_frida_scripts:1860: DAR101: - directory

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_discover_frida_scripts:1860: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_discover_python_modules:1880: DAR101: - directory

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_discover_python_modules:1880: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_extract_ghidra_metadata:1904: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_extract_ghidra_metadata:1904: DAR101: - script_file

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_extract_frida_metadata:1948: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_extract_frida_metadata:1948: DAR101: - script_file

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_extract_python_metadata:1994: DAR101: - module_file

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_extract_python_metadata:1994: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:load_plugin:2049: DAR101: - plugin_name

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:load_plugin:2049: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_create_plugin_instance:2105: DAR101: - metadata

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_create_plugin_instance:2105: DAR101: - plugin_name

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_create_plugin_instance:2105: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:load_all_plugins:2144: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:_calculate_load_order:2161: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:activate_plugin:2196: DAR101: - plugin_name

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:activate_plugin:2196: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:deactivate_plugin:2226: DAR101: - plugin_name

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:deactivate_plugin:2226: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:unload_plugin:2258: DAR101: - plugin_name

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:unload_plugin:2258: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_plugin:2293: DAR101: - plugin_name

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_plugin:2293: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_plugins_by_capability:2297: DAR101: - capability

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_plugins_by_capability:2297: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_plugins_by_type:2309: DAR101: - component_type

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_plugins_by_type:2309: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:get_plugin_stats:2321: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:2341: DAR101: - event_bus

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:2341: DAR101: - logger

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:__init__:2341: DAR101: - plugin_manager

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:register_workflow:2445: DAR101: - workflow

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_workflow:2450: DAR101: - parameters

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_workflow:2450: DAR201: - return

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_workflow:2450: DAR101: - workflow_id

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_workflow:2450: DAR401: -r Exception

intellicrack\plugins\custom_modules\intellicrack_core_engine.py:execute_workflow:2450: DAR401: -r ValueError

